date,platform,campaign,event,driver,country,city,age_group,gender,followers,reach,engagement,likes,comments,shares,saves,profile_visits,website_clicks
2026-09-07,Instagram,Community,Community Peak,Community peak,CH,Zurich,55-64,Male,175862,1486562,5.6,68375,3787,1403,2749,22089,5247
2026-09-07,Instagram,Community,Community Peak,Community peak,DK,Copenhagen,65+,Undisclosed,175862,1486562,5.1,73572,4353,1967,3184,17903,4622
2026-09-12,Instagram,Community,Community Peak,Community peak,CH,Basel,45-54,Female,175862,1486562,5.4,80904,4398,1674,3612,14412,3399
2026-09-12,Instagram,Community,Community Peak,Community peak,DK,Copenhagen,18-24,Female,175862,1486562,5.1,68788,2667,1744,2222,19956,5748
2026-09-12,Instagram,Community,Community Peak,Community peak,DK,Copenhagen,65+,Female,175862,1486562,5.6,74883,3670,2244,2572,15813,4641
2026-09-12,Instagram,Community,Community Peak,Community peak,AT,Graz,55-64,Male,175862,1486562,5.5,79556,4510,2005,3509,14643,3259
2026-09-17,Instagram,Community,Community Peak,Community peak,DE,Munich,35-44,Undisclosed,175862,1486562,5.3,87454,5208,2323,3598,19075,4260
2026-09-17,Instagram,Community,Community Peak,Community peak,AT,Graz,35-44,Undisclosed,175862,1486562,5.7,83110,3477,1398,3349,15843,4705
2026-09-17,Instagram,Community,Community Peak,Community peak,DE,Frankfurt,25-34,Male,180706,1641962,5.8,68273,3966,1695,2896,15595,4276
2026-09-17,Instagram,Community,Community Peak,Community peak,DE,Leipzig,55-64,Undisclosed,180706,1641962,5.3,69265,3707,1287,1490,23539,4327
